S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine (liters),Power,Seats,New_Price,Price,updated_price
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1.984,177.01,5.0,,23.5,28187.6
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1.197,80.0,5.0,,1.87,2243.01
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1.598,103.6,5.0,,2.85,3418.5
25,Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1.497,116.3,5.0,,4.25,5097.76
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1.461,63.1,5.0,,4.25,5097.76
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,0.998,67.1,5.0,,2.75,3298.55
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1.199,88.7,5.0,10.57,9.9,12678.42
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2.494,102.0,7.0,,4.0,4797.89
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1.461,108.45,5.0,,7.75,9295.91
31,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1.798,138.1,5.0,,6.75,8096.44
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2.696,184.0,7.0,,12.5,14993.4
33,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2.698,179.5,5.0,,11.5,13793.93
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1.598,103.5,5.0,12.33,6.98,14789.49
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1.061,64.0,5.0,,1.85,2219.02
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1.248,88.5,5.0,11.12,8.63,13338.13
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15,1.198,82.0,5.0,,4.85,5817.44
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2.987,254.8,5.0,,28.0,33585.22
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1.199,73.9,5.0,,5.0,5997.36
40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,0.796,46.3,5.0,,1.25,1499.34
41,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,0.624,37.5,4.0,,1.53,1835.19
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1.198,77.0,6.0,,5.58,6693.06
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1.197,82.9,5.0,,4.74,5685.5
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1.999,149.92,5.0,23.64,8.85,28355.52
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1.798,138.03,5.0,,10.11,12126.66
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1.991,112.2,5.0,,4.25,5097.76
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2.694,163.7,7.0,18.64,10.95,22358.16
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1.12,71.0,5.0,,3.85,4617.97
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2.498,105.0,6.0,,5.5,6597.1
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1.968,174.33,5.0,,21.43,25704.69
51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1.248,74.0,5.0,,4.25,5097.76
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1.248,75.0,5.0,,3.3,3958.26
53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1.248,74.0,5.0,,3.85,4617.97
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1.197,82.0,5.0,,3.6,4318.1
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1.598,103.2,5.0,,3.99,4785.89
56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,0.799,53.3,5.0,,3.3,3958.26
57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1.197,78.9,5.0,,2.07,2482.91
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1.995,147.6,5.0,,7.75,9295.91
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,0.998,67.1,5.0,,2.25,2698.81
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2.393,147.8,8.0,19.34,16.5,23197.79
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1.399,68.0,5.0,,2.75,3298.55
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1.796,186.0,5.0,,26.7,32025.91
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2.148,170.0,5.0,,10.0,11994.72
64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1.396,69.0,5.0,,2.5,2998.68
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1.968,140.0,5.0,,13.5,16192.88
66,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1.497,78.0,5.0,,1.85,2219.02
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1.95,194.0,5.0,49.14,35.67,58942.07
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1.248,88.5,7.0,,8.15,9775.7
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1.396,88.7,5.0,11.81,10.5,14165.77
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4.806,500.0,5.0,,14.5,17392.35
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2.179,140.0,7.0,,9.65,11574.91
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95,1.197,78.9,5.0,,3.48,4174.16
73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1.461,108.5,5.0,16.65,6.92,19971.21
74,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1.198,86.8,5.0,,6.46,7748.59
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1.968,187.74,5.0,,29.5,35384.43
76,Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8,1.399,0.0,5.0,,2.0,2398.94
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1.998,132.0,8.0,,4.5,5397.63
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2.494,102.0,7.0,,11.75,14093.8
79,Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1.086,0.0,5.0,,1.3,1559.31
80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1.248,74.0,5.0,,3.75,4498.02
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1.193,88.7,5.0,6.67,4.5,8000.48
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1.198,86.7,5.0,,4.82,5781.46
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1.399,68.0,5.0,,2.8,3358.52
84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1.248,73.94,5.0,,3.11,3730.36
85,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8,1.497,117.3,5.0,,3.25,3898.28
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1.995,218.0,5.0,,13.9,16672.66
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1.197,78.9,5.0,,2.25,2698.81
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1.197,82.0,5.0,,5.75,6896.97
89,Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1.086,0.0,5.0,,2.1,2518.89
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1.198,86.7,5.0,,5.0,5997.36
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2.982,168.5,7.0,,16.5,19791.29
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1.968,174.33,5.0,,39.58,47475.11
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1.498,89.84,5.0,,5.5,6597.1
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2.179,140.0,7.0,,8.1,9715.73
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1.498,98.6,5.0,,3.5,4198.15
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07,1.199,73.9,5.0,,2.79,3346.53
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1.493,110.0,5.0,,3.45,4138.18
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9,0.998,67.1,5.0,,4.45,5337.65
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26,1.598,103.5,5.0,,2.65,3178.6
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1.396,90.0,5.0,,3.8,4557.99
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1.197,82.85,5.0,,4.65,5577.55
102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1.198,67.0,7.0,6.45,3.95,7736.6
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2.967,241.4,5.0,,9.8,11754.83
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1.197,80.0,5.0,,2.7,3238.58
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0,0.796,35.0,5.0,,2.41,2890.73
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1.197,78.9,5.0,6.41,3.9,7688.62
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2.993,270.9,5.0,,24.0,28787.33
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2.179,140.0,7.0,,5.75,6896.97
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1.582,126.32,5.0,,5.25,6297.23
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2.755,171.5,7.0,27.0,19.25,32385.75
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1.196,73.0,5.0,5.13,3.91,6153.29
112,Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4,0.624,37.5,4.0,,2.15,2578.87
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1.995,190.0,5.0,54.43,20.75,65287.27
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5,1.799,130.0,5.0,,3.35,4018.23
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2.494,100.6,7.0,,11.11,13326.14
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1.984,150.0,5.0,,20.0,23989.44
117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1.198,75.94,5.0,9.51,6.55,11406.98
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2.497,215.0,5.0,,7.0,8396.31
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1.248,88.5,5.0,9.96,7.5,11946.74
120,Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1.086,0.0,5.0,,0.85,1019.55
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0,2.143,107.3,5.0,,16.75,20091.16
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1.582,126.2,5.0,14.44,10.95,17320.38
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9,0.998,67.1,5.0,,2.45,2938.71
124,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,0.624,37.48,4.0,,3.23,3874.3
125,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2.179,120.0,8.0,,7.75,9295.91
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1.796,178.0,5.0,,9.35,11215.07
127,Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,39.900000000000006,0.998,58.16,5.0,,3.25,3898.28
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2.354,152.0,5.0,,5.25,6297.23
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1.498,103.2,5.0,,7.25,8696.17
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1.373,91.1,5.0,,7.47,8960.06
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2.179,140.0,7.0,,13.25,15893.01
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1.197,85.8,5.0,,5.81,6968.93
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,0.998,67.1,5.0,4.53,2.6,5433.61
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2.996,362.07,2.0,95.04,54.0,113997.84
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1.591,121.3,5.0,13.49,11.5,16180.88
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7,0.796,46.3,5.0,,1.6,1919.16
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1.995,143.0,5.0,,17.22,20654.91
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1.199,88.7,5.0,,6.0,7196.83
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.5,1.799,130.0,5.0,,3.95,4737.92
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2.143,170.0,5.0,,17.95,21530.53
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1.498,98.6,5.0,,3.7,4438.05
142,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1.197,81.8,5.0,,5.43,6513.13
143,Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,17.0,1.086,0.0,5.0,,1.67,2003.12
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2.982,171.0,7.0,,13.49,16180.88
145,Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6,1.199,76.8,5.0,,2.85,3418.5
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1.498,103.52,5.0,,4.75,5697.49
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1.373,91.1,5.0,,9.9,11874.78
148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2.894,444.0,4.0,,37.0,44380.47
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1.995,190.0,5.0,60.88,26.5,73023.87
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1.968,174.33,5.0,,23.32,27971.69
151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1.248,74.0,5.0,,6.25,7496.7
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5.461,362.9,5.0,,30.0,35984.17
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1.498,103.52,5.0,,9.86,11826.8
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.2,1.968,138.1,5.0,,8.5,10195.51
155,Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,0.814,55.2,5.0,,4.23,5073.77
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07,1.199,73.9,5.0,,3.5,4198.15
157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1.198,67.06,5.0,,2.5,2998.68
158,Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.4,1.198,86.8,5.0,,2.39,2866.74
159,Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.8,1.595,120.7,5.0,,11.25,13494.06
160,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0,1.498,98.6,5.0,,7.11,8528.25
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2.494,100.6,7.0,,10.9,13074.25
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1.197,81.8,5.0,,6.2,7436.73
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,15.1,2.179,140.0,7.0,,7.9,9475.83
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.7,1.498,89.84,5.0,,4.42,5301.67
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13.0,2.982,168.5,7.0,,13.5,16192.88
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,21.5,1.498,108.5,5.0,,6.25,7496.7
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1.399,68.0,5.0,,2.1,2518.89
168,BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2.993,258.0,5.0,,45.0,53976.25
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2.143,167.62,5.0,,33.66,40374.24
170,Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1.198,86.8,5.0,,3.65,4378.07
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.36,1.197,78.9,5.0,,2.75,3298.55
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2.143,170.0,5.0,,42.5,50977.57
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.9,1.197,81.86,5.0,7.39,6.5,8864.1
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1.968,174.33,5.0,,19.0,22789.97
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1.598,103.6,5.0,,4.45,5337.65
176,Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1.998,112.0,5.0,,23.0,27587.86
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.54,1.396,88.73,5.0,,8.35,10015.59
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1.968,174.33,5.0,,22.95,27527.89
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.44,0.936,57.6,5.0,,1.5,1799.21
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,Automatic,First,13.7,1.798,157.75,5.0,,6.89,8264.36
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,17.8,1.399,68.0,5.0,,1.45,1739.23
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1.995,190.0,5.0,69.47,33.5,83327.34
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Petrol,Manual,First,12.9,1.598,102.5,5.0,,1.25,1499.34
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1.199,73.9,5.0,,4.2,5037.78
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,Manual,First,19.98,1.461,108.5,8.0,,6.75,8096.44
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2.143,201.1,5.0,,32.0,38383.11
187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1.197,83.1,5.0,8.78,7.5,10531.37
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,22.32,1.582,126.32,5.0,,4.6,5517.57
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,First,19.81,1.086,68.05,5.0,,4.04,4845.87
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,Manual,First,15.4,1.997,120.0,7.0,,10.31,12366.56
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2.179,187.7,5.0,,55.76,66882.57
192,Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0,1.399,68.0,5.0,,2.6,3118.63
193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1.248,88.5,7.0,12.74,8.5,15281.28
194,Honda City 1.5 GXI,Ahmedabad,2007,60006,Petrol,Manual,First,0.0,,,,,2.95,3538.44
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.8,1.498,98.6,5.0,,3.5,4198.15
196,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1.197,78.9,5.0,,3.55,4258.13
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.8,1.498,98.6,5.0,,3.25,3898.28
